brand,image,name,p_url,price,rrp,url
Pringle,https://img.tkmaxx.com/medias/20767098-medium-wl-01.jpg?context=bWFzdGVyfHByb2R1Y3QtaW1hZ2VzfDQ4NTA3fGltYWdlL2pwZWd8cHJvZHVjdC1pbWFnZXMvaGVlL2hkOC8xMjc0Mjc0MDMxMjA5NC5qcGd8NzcyMmE2ZTg4N2Q5YzIxNWVhZGIxZmE0Y2M0NDUwOThhYWQyMDJiMGQxNzJjODUxMWYzYmY0MzY0NjBjODQwOA,Seven Pack Multicoloured Patterned Socks ,/uk/en/men/clothing/underwear+socks/socks/seven-pack-multicoloured-patterned-socks/p/20767098,£19.99,RRP £39.99,https://www.tkmaxx.com/uk/en/men/clothing/underwear+socks/socks/seven-pack-multicoloured-patterned-socks/p/20767098
Canada Goose,https://img.tkmaxx.com/medias/07255503-medium-wl-01.jpg?context=bWFzdGVyfHByb2R1Y3QtaW1hZ2VzfDI3OTcwfGltYWdlL2pwZWd8cHJvZHVjdC1pbWFnZXMvaGRmL2hjNy8xMjc0MjE1MDY1MTkzNC5qcGd8NGFhN2UyYjQyOTg2OTk0MWE3YTcwM2EzM2JjODBiZDQ2NTE3ZmQ2NWQxZjQxYzQ2NjQ4MGRjNmY1MjIzY2U2MQ,Black Down Herringbone Parka,/uk/en/women/activewear/outdoor/outdoor-jackets/black-down-herringbone-parka/p/07255503,£799.99,,https://www.tkmaxx.com/uk/en/women/activewear/outdoor/outdoor-jackets/black-down-herringbone-parka/p/07255503
Cupcakes & Cashmere,https://img.tkmaxx.com/medias/05394528-medium-wl-01.jpg?context=bWFzdGVyfHByb2R1Y3QtaW1hZ2VzfDQ0NzcyfGltYWdlL2pwZWd8cHJvZHVjdC1pbWFnZXMvaDk2L2hiOC8xMjc0MjkzNzU0MjY4Ni5qcGd8NmQyYTYxNzM0NThkODJhYWRhNjRkMWFjZTE2M2NlNjUyN2Y0NDJhNDllNDhkYTNmYTk5Y2U5YWRlZDY1ZGU1Ng,Brown Cable Knit Jumper,/uk/en/women/clothing/knitwear/womens-jumpers/brown-cable-knit-jumper/p/05394528,£29.99,,https://www.tkmaxx.com/uk/en/women/clothing/knitwear/womens-jumpers/brown-cable-knit-jumper/p/05394528
Auren,https://img.tkmaxx.com/medias/76752249-medium-wl-01.jpg?context=bWFzdGVyfHByb2R1Y3QtaW1hZ2VzfDI2ODY5fGltYWdlL2pwZWd8cHJvZHVjdC1pbWFnZXMvaDBhL2g5ZS8xMjc0MDA3Njk2MTgyMi5qcGd8OTExYWZiMTg0MDlhNDVlYTVlMmU0OTBmYzVkNjQxOGU1YWU1YTM0NTQ5OTFiMGJlMTQ4N2Q1ZjJmNTRmMTBhOA,18ct Gold Plated Pearl Necklace,/uk/en/women/accessories/jewellery/necklaces/18ct-gold-plated-pearl-necklace/p/76752249,£29.99,RRP £79.00,https://www.tkmaxx.com/uk/en/women/accessories/jewellery/necklaces/18ct-gold-plated-pearl-necklace/p/76752249
Penny Levi,https://img.tkmaxx.com/medias/76706046-medium-wl-01.jpg?context=bWFzdGVyfHByb2R1Y3QtaW1hZ2VzfDI4MTM0fGltYWdlL2pwZWd8cHJvZHVjdC1pbWFnZXMvaDUxL2hiOC8xMjc0MjUwNDgwODQ3OC5qcGd8ZGMyZWQ0ZGMyYTI5ZDA3MTEyZTYxYzkwN2Y4MjA5YmM5MTM3ZTVjNmNjY2M0MmYxMmI3YzRlOGFiZDE1YzQzOA,Two Piece Gold Plated Cubic Zirconia Jewellery Set,/uk/en/women/accessories/jewellery/silver-jewellery/two-piece-gold-plated-cubic-zirconia-jewellery-set/p/76706046,£29.99,RRP £81.00,https://www.tkmaxx.com/uk/en/women/accessories/jewellery/silver-jewellery/two-piece-gold-plated-cubic-zirconia-jewellery-set/p/76706046
Adidas,https://img.tkmaxx.com/medias/14050822-medium-wl-01.jpg?context=bWFzdGVyfHByb2R1Y3QtaW1hZ2VzfDQwMzE0fGltYWdlL2pwZWd8cHJvZHVjdC1pbWFnZXMvaGM4L2g0NS8xMjc0MjE5NzIxNTI2Mi5qcGd8MjY5NWFmODIxYTVlZDc5YmUyZDE0MjdhYjE4OTM3ZGI3MjcyZGNiNzM2M2FkZmFkNjQ1NmM4YzEyNjVhNThkNQ,Red & Black Workout Bra,/uk/en/kids+toys/kids-clothing/girls/tops/red+black-workout-bra/p/14050822,£7.99,RRP £16.95,https://www.tkmaxx.com/uk/en/kids+toys/kids-clothing/girls/tops/red+black-workout-bra/p/14050822
U.S. Polo Assn,https://img.tkmaxx.com/medias/76777182-medium-wl-01.jpg?context=bWFzdGVyfHByb2R1Y3QtaW1hZ2VzfDMxMDUxfGltYWdlL2pwZWd8cHJvZHVjdC1pbWFnZXMvaDZlL2hjMi8xMjc0MzEwOTczODUyNi5qcGd8OWI5MmJkZmY5MmMxZDEyZTk0YmExYmFlMWE0YTU4YWUwYzZlNzhmM2M5MTk2NGQzMTgxNGYwYTczYTc4YWJmNw,Rose Gold Tone Embellished Aylin Stud Earrings,/uk/en/women/accessories/jewellery/earrings/rose-gold-tone-embellished-aylin-stud-earrings/p/76777182,£11.99,RRP £35.00,https://www.tkmaxx.com/uk/en/women/accessories/jewellery/earrings/rose-gold-tone-embellished-aylin-stud-earrings/p/76777182
The Beauty Worx,https://img.tkmaxx.com/medias/42070501-medium-wl-01.jpg?context=bWFzdGVyfHByb2R1Y3QtaW1hZ2VzfDM1Njc1fGltYWdlL2pwZWd8cHJvZHVjdC1pbWFnZXMvaGE5L2g2OS8xMjc0MjMyODM1Mjc5OC5qcGd8ZGI0NjY1MTgyMjZjMjM3ZDNjMjQ0YWVmOTI1ZWRkZmE5ZTFlNzJhZjQ5MjY1NTY1NTBkOTE0ZGU3OWRmNDFlYQ,In The Nude Palette 45 14.9g ,/uk/en/women/beauty/makeup/make-up/in-the-nude-palette-45-14.9g/p/42070501,£5.99,,https://www.tkmaxx.com/uk/en/women/beauty/makeup/make-up/in-the-nude-palette-45-14.9g/p/42070501
The Beauty Worx,https://img.tkmaxx.com/medias/42070499-medium-wl-01.jpg?context=bWFzdGVyfHByb2R1Y3QtaW1hZ2VzfDM1Njc1fGltYWdlL2pwZWd8cHJvZHVjdC1pbWFnZXMvaGI4L2hiMi8xMjc0MjM1NjI3MTEzNC5qcGd8ODBjNDhiM2Q2MThlYzE0Mzc0OWRlZmY3MTliZDU3ZmZlMTNmYmU3OGY3ZWU4NTRlZDNkZGU4OGM0YWM2YzhmNw,In The Nude Palette 45 14.9g ,/uk/en/women/beauty/makeup/make-up/in-the-nude-palette-45-14.9g/p/42070499,£5.99,,https://www.tkmaxx.com/uk/en/women/beauty/makeup/make-up/in-the-nude-palette-45-14.9g/p/42070499
Superdry,https://img.tkmaxx.com/medias/31291361-medium-wl-01.jpg?context=bWFzdGVyfHByb2R1Y3QtaW1hZ2VzfDM1MjQwfGltYWdlL2pwZWd8cHJvZHVjdC1pbWFnZXMvaDNjL2g0Ni8xMjc0MzA2NTgyOTQwNi5qcGd8YjNmMzVmNzQ3NWFjMmYwMTM5YmEzZTJmNWVkNmNlMzYzOTA1OGQyY2QwNjQ1Y2IwODY5MWVmMGM0NDE2MTA1NA,Black & Orange Down Blend Logo Ski Jacket,/uk/en/men/activewear/ski+snowboarding/ski+snowboarding-clothing/black+orange-down-blend-logo-ski-jacket/p/31291361,£129.99,RRP £274.99,https://www.tkmaxx.com/uk/en/men/activewear/ski+snowboarding/ski+snowboarding-clothing/black+orange-down-blend-logo-ski-jacket/p/31291361
Thames Kosmos,https://img.tkmaxx.com/medias/36374166-medium-wl-01.jpg?context=bWFzdGVyfHByb2R1Y3QtaW1hZ2VzfDQxNTMxfGltYWdlL2pwZWd8cHJvZHVjdC1pbWFnZXMvaGI2L2gxYy8xMjc0MDE4MjY3MTM5MC5qcGd8NTQzZmNlZmY2Y2Q2YWQ4ZmE2ZjRmMjQyODJmNmZhZjUyNDE2MWIzYTk0Y2ZhNjk2OWQ0NjJhMjI0OGM2OThjZg,Exit Castle Board Game,/uk/en/gifts/novelty-gifts/exit-castle-board-game/p/36374166,£14.99,RRP £24.00,https://www.tkmaxx.com/uk/en/gifts/novelty-gifts/exit-castle-board-game/p/36374166
Penny Levi,https://img.tkmaxx.com/medias/76705996-medium-wl-01.jpg?context=bWFzdGVyfHByb2R1Y3QtaW1hZ2VzfDMyMzg2fGltYWdlL2pwZWd8cHJvZHVjdC1pbWFnZXMvaDkxL2gxMC8xMjc0MjUwNjI1MDI3MC5qcGd8NjY2NGExNDJhZjkxMmFlOThmYTc5MmFmZDc0MzE3NDJiZDc5YmViN2Q0ZmU5NGVkMjIwOGY4ZWZkYWY1MjZlNg,Gold Plated Pendant Necklace & Stud Earrings,/uk/en/women/accessories/jewellery/silver-jewellery/gold-plated-pendant-necklace+stud-earrings/p/76705996,£39.99,RRP £93.00,https://www.tkmaxx.com/uk/en/women/accessories/jewellery/silver-jewellery/gold-plated-pendant-necklace+stud-earrings/p/76705996
